BioSample	BioSampleModel	Experiment	Library_Name	MBases	MBytes	Microbiota	Run	SRA_Sample	Sample_Name	Treatment	collection_date	host_genotype	replicate	Assay_Type	AvgSpotLen	BioProject	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
SAMN07731814	MIGS/MIMS/MIMARKS.host-associated	SRX3239660	317L13	14	10	SPF-1	SRR6127174	SRS2562931	Mouse gut 16S rRNA_V4 317L13	none	13-Apr-2015	OT2	biological replicate 244	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731938	MIMS.me	SRX3239661	38L26	9	5	cSPF-2	SRR6127173	SRS2562932	Mouse gut 16S rRNA_V4 38L26	none	24-Oct-2016	muMT	biological replicate 368	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731937	MIMS.me	SRX3239662	38L15	14	10	SPF-1	SRR6127172	SRS2562933	Mouse gut 16S rRNA_V4 38L15	none	05-Jun-2016	CD8	biological replicate 367	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731936	MIGS/MIMS/MIMARKS.host-associated	SRX3239663	383L06	20	15	SPF-1	SRR6127171	SRS2562934	Mouse gut 16S rRNA_V4 383L06	none	03-Jul-2014	C57BL/6N	biological replicate 366	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731935	MIGS/MIMS/MIMARKS.host-associated	SRX3239664	382L06	16	12	SPF-1	SRR6127170	SRS2562935	Mouse gut 16S rRNA_V4 382L06	none	03-Jul-2014	C57BL/6N	biological replicate 365	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731934	MIMS.me	SRX3239665	381L06	21	16	SPF-1	SRR6127169	SRS2562936	Mouse gut 16S rRNA_V4 381L06	none	03-Jul-2014	C57BL/6N	biological replicate 364	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731932	MIGS/MIMS/MIMARKS.host-associated	SRX3239667	380L06	19	14	SPF-1	SRR6127167	SRS2562938	Mouse gut 16S rRNA_V4 380L06	none	03-Jul-2014	C57BL/6N	biological replicate 362	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731931	MIGS/MIMS/MIMARKS.host-associated	SRX3239668	37L26	6	4	cSPF-2	SRR6127166	SRS2562939	Mouse gut 16S rRNA_V4 37L26	none	24-Oct-2016	muMT	biological replicate 361	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731940	MIMS.me	SRX3239669	39L26	8	5	cSPF-2	SRR6127165	SRS2562940	Mouse gut 16S rRNA_V4 39L26	none	24-Oct-2016	muMT	biological replicate 370	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731939	MIMS.me	SRX3239670	39L15	20	15	SPF-1	SRR6127164	SRS2562941	Mouse gut 16S rRNA_V4 39L15	none	05-Jun-2016	CD8	biological replicate 369	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731990	MIGS/MIMS/MIMARKS.host-associated	SRX3239671	64L26	8	5	SPF-2	SRR6127163	SRS2562942	Mouse gut 16S rRNA_V4 64L26	none	24-Oct-2016	C57BL/6N	biological replicate 420	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731989	MIGS/MIMS/MIMARKS.host-associated	SRX3239672	63L26	9	6	SPF-2	SRR6127162	SRS2562943	Mouse gut 16S rRNA_V4 63L26	none	24-Oct-2016	C57BL/6N	biological replicate 419	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731986	MIMS.me	SRX3239673	60L26	4	3	SPF-2	SRR6127161	SRS2562944	Mouse gut 16S rRNA_V4 60L26	none	24-Oct-2016	C57BL/6N	biological replicate 416	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731985	MIMS.me	SRX3239674	5L26	8	5	SPF-1	SRR6127160	SRS2562945	Mouse gut 16S rRNA_V4 5L26	none	24-Oct-2016	C57BL/6N	biological replicate 415	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731988	MIGS/MIMS/MIMARKS.host-associated	SRX3239675	62L26	9	6	SPF-2	SRR6127159	SRS2562946	Mouse gut 16S rRNA_V4 62L26	none	24-Oct-2016	C57BL/6N	biological replicate 418	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731987	MIGS/MIMS/MIMARKS.host-associated	SRX3239676	61L26	4	2	SPF-2	SRR6127158	SRS2562947	Mouse gut 16S rRNA_V4 61L26	none	24-Oct-2016	C57BL/6N	biological replicate 417	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731982	MIMS.me	SRX3239677	553L26	1	1	cSPF-2	SRR6127157	SRS2562948	Mouse gut 16S rRNA_V4 553L26	DSS	24-Oct-2016	C57BL/6N	biological replicate 412	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731981	MIMS.me	SRX3239678	552L26	5	3	cSPF-2	SRR6127156	SRS2562949	Mouse gut 16S rRNA_V4 552L26	DSS	24-Oct-2016	C57BL/6N	biological replicate 411	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731984	MIGS/MIMS/MIMARKS.host-associated	SRX3239679	5L15	19	14	SPF-1	SRR6127155	SRS2562950	Mouse gut 16S rRNA_V4 5L15	none	05-Jun-2016	CD8	biological replicate 414	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731983	MIGS/MIMS/MIMARKS.host-associated	SRX3239680	57L26	9	6	SPF-2	SRR6127154	SRS2562951	Mouse gut 16S rRNA_V4 57L26	none	24-Oct-2016	C57BL/6N	biological replicate 413	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731950	MIMS.me	SRX3239682	45L26	6	4	SPF-1	SRR6127152	SRS2562953	Mouse gut 16S rRNA_V4 45L26	none	24-Oct-2016	C57BL/6N	biological replicate 380	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731941	MIMS.me	SRX3239684	3L26	7	4	SPF-1	SRR6127150	SRS2562955	Mouse gut 16S rRNA_V4 3L26	none	24-Oct-2016	C57BL/6N	biological replicate 371	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731849	MIMS.me	SRX3239685	33L26	8	5	cSPF-2	SRR6127149	SRS2562956	Mouse gut 16S rRNA_V4 33L26	none	24-Oct-2016	Rag2	biological replicate 279	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731714	MIMS.me	SRX3239693	18L26	9	5	cSPF-2	SRR6127141	SRS2562964	Mouse gut 16S rRNA_V4 18L26	none	24-Oct-2016	C57BL/6N	biological replicate 144	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731713	MIGS/MIMS/MIMARKS.host-associated	SRX3239694	188L19	10	7	SPF-2	SRR6127140	SRS2562965	Mouse gut 16S rRNA_V4 188L19	none	08-Feb-2016	C57BL/6N	biological replicate 143	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731712	MIGS/MIMS/MIMARKS.host-associated	SRX3239695	187L19	12	9	SPF-2	SRR6127139	SRS2562966	Mouse gut 16S rRNA_V4 187L19	none	08-Feb-2016	C57BL/6N	biological replicate 142	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731711	MIMS.me	SRX3239696	186L19	9	7	SPF-2	SRR6127138	SRS2562967	Mouse gut 16S rRNA_V4 186L19	none	08-Feb-2016	C57BL/6N	biological replicate 141	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731585	MIMS.me	SRX3239697	112L19	11	8	SPF-5	SRR6127137	SRS2562968	Mouse gut 16S rRNA_V4 112L19	none	08-Feb-2016	C57BL/6N	biological replicate 15	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731586	MIGS/MIMS/MIMARKS.host-associated	SRX3239698	113L19	14	11	SPF-5	SRR6127136	SRS2562969	Mouse gut 16S rRNA_V4 113L19	none	08-Feb-2016	C57BL/6N	biological replicate 16	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731589	MIGS/MIMS/MIMARKS.host-associated	SRX3239699	114L26	8	5	cSPF-2	SRR6127135	SRS2562970	Mouse gut 16S rRNA_V4 114L26	none	24-Oct-2016	C57BL/6N	biological replicate 19	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731852	MIMS.me	SRX3239701	341L06	16	12	SPF-1	SRR6127133	SRS2562972	Mouse gut 16S rRNA_V4 341L06	none	03-Jul-2014	C57BL/6N	biological replicate 282	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731892	MIGS/MIMS/MIMARKS.host-associated	SRX3239710	360L06	23	17	SPF-1	SRR6127124	SRS2562981	Mouse gut 16S rRNA_V4 360L06	none	03-Jul-2014	C57BL/6N	biological replicate 322	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731895	MIGS/MIMS/MIMARKS.host-associated	SRX3239715	362L06	16	11	SPF-1	SRR6127119	SRS2562986	Mouse gut 16S rRNA_V4 362L06	none	03-Jul-2014	C57BL/6N	biological replicate 325	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732022	MIGS/MIMS/MIMARKS.host-associated	SRX3239716	90L26	6	4	SPF-1	SRR6127118	SRS2562987	Mouse gut 16S rRNA_V4 90L26	none	24-Oct-2016	C57BL/6N	biological replicate 452	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732021	MIMS.me	SRX3239717	8L26	8	5	SPF-1	SRR6127117	SRS2562988	Mouse gut 16S rRNA_V4 8L26	none	24-Oct-2016	Rag2	biological replicate 451	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732024	MIGS/MIMS/MIMARKS.host-associated	SRX3239718	92L26	9	6	SPF-1	SRR6127116	SRS2562989	Mouse gut 16S rRNA_V4 92L26	none	24-Oct-2016	C57BL/6N	biological replicate 454	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732023	MIGS/MIMS/MIMARKS.host-associated	SRX3239719	91L26	7	4	SPF-1	SRR6127115	SRS2562990	Mouse gut 16S rRNA_V4 91L26	none	24-Oct-2016	C57BL/6N	biological replicate 453	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732026	MIGS/MIMS/MIMARKS.host-associated	SRX3239720	94L26	7	4	SPF-1	SRR6127114	SRS2562991	Mouse gut 16S rRNA_V4 94L26	none	24-Oct-2016	C57BL/6N	biological replicate 456	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732025	MIMS.me	SRX3239721	93L26	4	3	SPF-1	SRR6127113	SRS2562992	Mouse gut 16S rRNA_V4 93L26	none	24-Oct-2016	C57BL/6N	biological replicate 455	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732028	MIGS/MIMS/MIMARKS.host-associated	SRX3239722	96L26	6	4	SPF-1	SRR6127112	SRS2562993	Mouse gut 16S rRNA_V4 96L26	none	24-Oct-2016	C57BL/6N	biological replicate 458	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732027	MIGS/MIMS/MIMARKS.host-associated	SRX3239723	95L26	7	4	SPF-1	SRR6127111	SRS2562994	Mouse gut 16S rRNA_V4 95L26	none	24-Oct-2016	C57BL/6N	biological replicate 457	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732030	MIGS/MIMS/MIMARKS.host-associated	SRX3239724	98L26	10	6	SPF-1	SRR6127110	SRS2562995	Mouse gut 16S rRNA_V4 98L26	none	24-Oct-2016	CD4	biological replicate 460	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07732029	MIMS.me	SRX3239725	97L26	8	5	SPF-1	SRR6127109	SRS2562996	Mouse gut 16S rRNA_V4 97L26	none	24-Oct-2016	CD4	biological replicate 459	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731787	MIGS/MIMS/MIMARKS.host-associated	SRX3239728	299L08	25	19	SPF-1	SRR6127106	SRS2562999	Mouse gut 16S rRNA_V4 299L08	none	21-Apr-2014	Tcrbd	biological replicate 217	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731786	MIMS.me	SRX3239729	298L08	30	22	SPF-1	SRR6127105	SRS2563000	Mouse gut 16S rRNA_V4 298L08	none	21-Apr-2014	Tcrbd	biological replicate 216	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731785	MIGS/MIMS/MIMARKS.host-associated	SRX3239730	297L08	22	16	SPF-1	SRR6127104	SRS2563001	Mouse gut 16S rRNA_V4 297L08	none	21-Apr-2014	Tcrbd	biological replicate 215	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731784	MIGS/MIMS/MIMARKS.host-associated	SRX3239731	296L08	23	17	SPF-1	SRR6127103	SRS2563002	Mouse gut 16S rRNA_V4 296L08	none	21-Apr-2014	Tcrbd	biological replicate 214	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731783	MIGS/MIMS/MIMARKS.host-associated	SRX3239732	295L08	28	21	SPF-1	SRR6127102	SRS2563003	Mouse gut 16S rRNA_V4 295L08	none	21-Apr-2014	Tcrbd	biological replicate 213	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731782	MIMS.me	SRX3239733	28L26	7	5	cSPF-2	SRR6127101	SRS2563004	Mouse gut 16S rRNA_V4 28L26	none	24-Oct-2016	Rag2	biological replicate 212	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731928	MIGS/MIMS/MIMARKS.host-associated	SRX3239736	379L06	22	16	SPF-1	SRR6127098	SRS2563007	Mouse gut 16S rRNA_V4 379L06	none	03-Jul-2014	C57BL/6N	biological replicate 358	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731926	MIGS/MIMS/MIMARKS.host-associated	SRX3239738	378L06	24	17	SPF-1	SRR6127096	SRS2563009	Mouse gut 16S rRNA_V4 378L06	none	03-Jul-2014	C57BL/6N	biological replicate 356	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731924	MIGS/MIMS/MIMARKS.host-associated	SRX3239740	377L06	25	18	SPF-1	SRR6127094	SRS2563011	Mouse gut 16S rRNA_V4 377L06	none	03-Jul-2014	C57BL/6N	biological replicate 354	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731790	MIMS.me	SRX3239741	300L08	33	24	SPF-1	SRR6127093	SRS2563012	Mouse gut 16S rRNA_V4 300L08	none	21-Apr-2014	Tcrbd	biological replicate 220	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731789	MIGS/MIMS/MIMARKS.host-associated	SRX3239742	29L26	7	4	cSPF-2	SRR6127092	SRS2563013	Mouse gut 16S rRNA_V4 29L26	none	24-Oct-2016	Rag2	biological replicate 219	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731674	MIGS/MIMS/MIMARKS.host-associated	SRX3239743	165L04	19	14	SPF-4	SRR6127091	SRS2563014	Mouse gut 16S rRNA_V4 165L04	none	06-Apr-2014	C57BL/6N	biological replicate 104	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731673	MIMS.me	SRX3239744	164L04	22	16	SPF-4	SRR6127090	SRS2563015	Mouse gut 16S rRNA_V4 164L04	none	06-Apr-2014	C57BL/6N	biological replicate 103	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731672	MIMS.me	SRX3239745	163L04	6	5	SPF-4	SRR6127089	SRS2563016	Mouse gut 16S rRNA_V4 163L04	none	06-Apr-2014	C57BL/6N	biological replicate 102	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731671	MIMS.me	SRX3239746	162L04	8	5	SPF-4	SRR6127088	SRS2563017	Mouse gut 16S rRNA_V4 162L04	none	06-Apr-2014	C57BL/6N	biological replicate 101	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731678	MIGS/MIMS/MIMARKS.host-associated	SRX3239747	167L04	16	12	SPF-4	SRR6127087	SRS2563018	Mouse gut 16S rRNA_V4 167L04	none	06-Apr-2014	C57BL/6N	biological replicate 108	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
SAMN07731676	MIMS.me	SRX3239749	166L04	13	9	SPF-4	SRR6127085	SRS2563020	Mouse gut 16S rRNA_V4 166L04	none	06-Apr-2014	C57BL/6N	biological replicate 106	AMPLICON	502	PRJNA407363	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-10-02	feces metagenome	ILLUMINA	2017-10-02	SRP119278	not applicable	not applicable	feces	Germany:Braunschweig	Mus musculus	not applicable
