Animal	BioSample	Diet	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	Timing	collection_date	geo_loc_name	host	lat_lon
DSS3 Cellulose 2nd sample 2	SAMN07713833	High Cellulose	SRX3234571	DSS3.Cellulose.2nd.sample.2	9	5	SRR6121877	SRS2558675	DSS3.Cellulose.2nd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Cellulose 2nd sample 5	SAMN07713836	High Cellulose	SRX3234572	DSS3.Cellulose.2nd.sample.5	6	3	SRR6121876	SRS2558676	DSS3.Cellulose.2nd.sample.5	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Cellulose 2nd sample 4	SAMN07713835	High Cellulose	SRX3234573	DSS3.Cellulose.2nd.sample.4	9	4	SRR6121875	SRS2558677	DSS3.Cellulose.2nd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Psyllium 2nd sample 1	SAMN07713837	High Psyllium	SRX3234575	DSS3.Psyllium.2nd.sample.1	6	3	SRR6121873	SRS2558678	DSS3.Psyllium.2nd.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Psyllium 2nd sample 2	SAMN07713838	High Psyllium	SRX3234574	DSS3.Psyllium.2nd.sample.2	4	2	SRR6121874	SRS2558679	DSS3.Psyllium.2nd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Psyllium 2nd sample 4	SAMN07713840	High Psyllium	SRX3234576	DSS3.Psyllium.2nd.sample.4	9	4	SRR6121872	SRS2558680	DSS3.Psyllium.2nd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS3 Psyllium 2nd sample 3	SAMN07713839	High Psyllium	SRX3234577	DSS3.Psyllium.2nd.sample.3	4	2	SRR6121871	SRS2558681	DSS3.Psyllium.2nd.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Cellulose 2nd sample 1	SAMN07713852	High Cellulose	SRX3234579	DSS4.Cellulose.2nd.sample.1	9	4	SRR6121869	SRS2558682	DSS4.Cellulose.2nd.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Psyllium 2nd sample 5	SAMN07713851	High Psyllium	SRX3234578	DSS4.Psyllium.2nd.sample.5	6	3	SRR6121870	SRS2558683	DSS4.Psyllium.2nd.sample.5	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Pectin 2nd sample 4	SAMN07713845	High Pectin	SRX3234580	DSS4.Pectin.2nd.sample.4	10	5	SRR6121868	SRS2558684	DSS4.Pectin.2nd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Pectin 2nd sample 5	SAMN07713846	High Pectin	SRX3234581	DSS4.Pectin.2nd.sample.5	7	3	SRR6121867	SRS2558685	DSS4.Pectin.2nd.sample.5	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Pectin 2nd sample 3	SAMN07713844	High Pectin	SRX3234583	DSS4.Pectin.2nd.sample.3	7	3	SRR6121865	SRS2558686	DSS4.Pectin.2nd.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Psyllium 2nd sample 3	SAMN07713849	High Psyllium	SRX3234584	DSS4.Psyllium.2nd.sample.3	7	4	SRR6121864	SRS2558687	DSS4.Psyllium.2nd.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Psyllium 2nd sample 4	SAMN07713850	High Psyllium	SRX3234585	DSS4.Psyllium.2nd.sample.4	7	3	SRR6121863	SRS2558688	DSS4.Psyllium.2nd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Psyllium 2nd sample 1	SAMN07713847	High Psyllium	SRX3234586	DSS4.Psyllium.2nd.sample.1	8	4	SRR6121862	SRS2558689	DSS4.Psyllium.2nd.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Psyllium 2nd sample 2	SAMN07713848	High Psyllium	SRX3234587	DSS4.Psyllium.2nd.sample.2	8	4	SRR6121861	SRS2558690	DSS4.Psyllium.2nd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 DSS 2nd sample 5	SAMN07713901	Harlan	SRX3234588	DSS5.DSS.2nd.sample.5	5	2	SRR6121860	SRS2558691	DSS5.DSS.2nd.sample.5	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 DSS 2nd sample 4	SAMN07713900	Harlan	SRX3234589	DSS5.DSS.2nd.sample.4	4	2	SRR6121859	SRS2558692	DSS5.DSS.2nd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 DSS 2nd sample 3	SAMN07713899	Harlan	SRX3234590	DSS5.DSS.2nd.sample.3	5	3	SRR6121858	SRS2558693	DSS5.DSS.2nd.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 DSS 2nd sample 2	SAMN07713898	Harlan	SRX3234591	DSS5.DSS.2nd.sample.2	5	2	SRR6121857	SRS2558694	DSS5.DSS.2nd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 DSS 2nd sample 1	SAMN07713897	Harlan	SRX3234592	DSS5.DSS.2nd.sample.1	5	2	SRR6121856	SRS2558695	DSS5.DSS.2nd.sample.1	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 Control 3rd sample 5	SAMN07713896	Harlan	SRX3234593	DSS5.Control.3rd.sample.5	3	1	SRR6121855	SRS2558696	DSS5.Control.3rd.sample.5	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 Control 3rd sample 4	SAMN07713895	Harlan	SRX3234594	DSS5.Control.3rd.sample.4	6	3	SRR6121854	SRS2558697	DSS5.Control.3rd.sample.4	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 Control 3rd sample 3	SAMN07713894	Harlan	SRX3234595	DSS5.Control.3rd.sample.3	5	2	SRR6121853	SRS2558698	DSS5.Control.3rd.sample.3	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS5 Control 3rd sample 2	SAMN07713893	Harlan	SRX3234596	DSS5.Control.3rd.sample.2	7	3	SRR6121852	SRS2558699	DSS5.Control.3rd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
DSS4 Pectin 2nd sample 2	SAMN07713843	High Pectin	SRX3234582	DSS4.Pectin.2nd.sample.2	6	3	SRR6121866	SRS2558700	DSS4.Pectin.2nd.sample.2	AMPLICON	252	PRJNA403997	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-09-29	mouse gut metagenome	ILLUMINA	2017-09-29	SRP119164	preDSS	2014	USA	Mus musculus	Not applicable
